,cv_score,sample_type,score,fold,key
0,0.4875,standard,accuracy,0,8289
1,0.46596638655462186,standard,accuracy,1,8289
2,0.4543103448275862,standard,accuracy,2,8289
3,0.5633620689655172,standard,accuracy,3,8289
0,0.48197050779965683,standard,f1,0,8289
1,0.46957632726555243,standard,f1,1,8289
2,0.4663837236925016,standard,f1,2,8289
3,0.5191647463937091,standard,f1,3,8289
0,0.8310388344638715,standard,roc_auc,0,8289
1,0.8351737171149324,standard,roc_auc,1,8289
2,0.8393206180172941,standard,roc_auc,2,8289
3,0.844308601409113,standard,roc_auc,3,8289
0,0.4363222280486961,standard,mcc,0,8289
1,0.40935754762852344,standard,mcc,1,8289
2,0.39427551485146156,standard,mcc,2,8289
3,0.5199381665232956,standard,mcc,3,8289
0,0.6666666666666666,majority,accuracy,0,8289
1,0.8,majority,accuracy,1,8289
2,0.7333333333333333,majority,accuracy,2,8289
3,0.6666666666666666,majority,accuracy,3,8289
0,0.5666666666666667,majority,f1,0,8289
1,0.76,majority,f1,1,8289
2,0.6866666666666668,majority,f1,2,8289
3,0.5833333333333333,majority,f1,3,8289
0,0.9120370370370371,majority,roc_auc,0,8289
1,0.9166666666666666,majority,roc_auc,1,8289
2,0.9222222222222223,majority,roc_auc,2,8289
3,0.9388888888888889,majority,roc_auc,3,8289
0,0.6674238124719146,majority,mcc,0,8289
1,0.7868932779785548,majority,mcc,1,8289
2,0.7056655847678652,majority,mcc,2,8289
3,0.6497953851430398,majority,mcc,3,8289
0,0.4875,standard,accuracy,0,1024
1,0.45210084033613446,standard,accuracy,1,1024
2,0.44396551724137934,standard,accuracy,2,1024
3,0.5698275862068966,standard,accuracy,3,1024
0,0.4844872854563267,standard,f1,0,1024
1,0.460064605730805,standard,f1,1,1024
2,0.45468230908877016,standard,f1,2,1024
3,0.5271051032041035,standard,f1,3,1024
0,0.8297214210227604,standard,roc_auc,0,1024
1,0.8302646511911443,standard,roc_auc,1,1024
2,0.8323640836713089,standard,roc_auc,2,1024
3,0.8446673966395557,standard,roc_auc,3,1024
0,0.43779032362646153,standard,mcc,0,1024
1,0.3952489473447099,standard,mcc,1,1024
2,0.3824643913529217,standard,mcc,2,1024
3,0.5282740445408877,standard,mcc,3,1024
0,0.6666666666666666,majority,accuracy,0,1024
1,0.8,majority,accuracy,1,1024
2,0.7333333333333333,majority,accuracy,2,1024
3,0.6666666666666666,majority,accuracy,3,1024
0,0.5733333333333334,majority,f1,0,1024
1,0.76,majority,f1,1,1024
2,0.6766666666666666,majority,f1,2,1024
3,0.5833333333333333,majority,f1,3,1024
0,0.9120370370370371,majority,roc_auc,0,1024
1,0.9055555555555556,majority,roc_auc,1,1024
2,0.9083333333333333,majority,roc_auc,2,1024
3,0.9361111111111111,majority,roc_auc,3,1024
0,0.6478858474699197,majority,mcc,0,1024
1,0.7868932779785548,majority,mcc,1,1024
2,0.7056655847678652,majority,mcc,2,1024
3,0.6497953851430398,majority,mcc,3,1024
0,0.494921875,standard,accuracy,0,512
1,0.45714285714285713,standard,accuracy,1,512
2,0.4336206896551724,standard,accuracy,2,512
3,0.5581896551724138,standard,accuracy,3,512
0,0.49098439383190284,standard,f1,0,512
1,0.46398104126780276,standard,f1,1,512
2,0.4438799531513375,standard,f1,2,512
3,0.509023900937812,standard,f1,3,512
0,0.833830297017797,standard,roc_auc,0,512
1,0.8294122034164395,standard,roc_auc,1,512
2,0.8216641624579125,standard,roc_auc,2,512
3,0.8486973937289564,standard,roc_auc,3,512
0,0.44626491004067564,standard,mcc,0,512
1,0.4004866905820863,standard,mcc,1,512
2,0.3710641848580918,standard,mcc,2,512
3,0.5159428763315014,standard,mcc,3,512
0,0.6666666666666666,majority,accuracy,0,512
1,0.7333333333333333,majority,accuracy,1,512
2,0.6666666666666666,majority,accuracy,2,512
3,0.6666666666666666,majority,accuracy,3,512
0,0.5733333333333334,majority,f1,0,512
1,0.6966666666666667,majority,f1,1,512
2,0.6366666666666667,majority,f1,2,512
3,0.5833333333333333,majority,f1,3,512
0,0.914814814814815,majority,roc_auc,0,512
1,0.9,majority,roc_auc,1,512
2,0.9111111111111111,majority,roc_auc,2,512
3,0.9305555555555556,majority,roc_auc,3,512
0,0.6478858474699197,majority,mcc,0,512
1,0.7121575439093085,majority,mcc,1,512
2,0.6295146223828438,majority,mcc,2,512
3,0.6497953851430398,majority,mcc,3,512
0,0.49609375,standard,accuracy,0,256
1,0.44537815126050423,standard,accuracy,1,256
2,0.4211206896551724,standard,accuracy,2,256
3,0.5573275862068966,standard,accuracy,3,256
0,0.49131853927912267,standard,f1,0,256
1,0.45308628760061376,standard,f1,1,256
2,0.43123267596623593,standard,f1,2,256
3,0.5146276625848875,standard,f1,3,256
0,0.8358515321277596,standard,roc_auc,0,256
1,0.8268029272720594,standard,roc_auc,1,256
2,0.8254053086738598,standard,roc_auc,2,256
3,0.8464525212487429,standard,roc_auc,3,256
0,0.4486780605263648,standard,mcc,0,256
1,0.38721706374987647,standard,mcc,1,256
2,0.3556722573881121,standard,mcc,2,256
3,0.5152557191862278,standard,mcc,3,256
0,0.6666666666666666,majority,accuracy,0,256
1,0.6666666666666666,majority,accuracy,1,256
2,0.6666666666666666,majority,accuracy,2,256
3,0.6666666666666666,majority,accuracy,3,256
0,0.5666666666666667,majority,f1,0,256
1,0.6166666666666666,majority,f1,1,256
2,0.6333333333333333,majority,f1,2,256
3,0.5833333333333333,majority,f1,3,256
0,0.9212962962962964,majority,roc_auc,0,256
1,0.8972222222222223,majority,roc_auc,1,256
2,0.9194444444444444,majority,roc_auc,2,256
3,0.9111111111111111,majority,roc_auc,3,256
0,0.6674238124719146,majority,mcc,0,256
1,0.6531972647421809,majority,mcc,1,256
2,0.6327848502189877,majority,mcc,2,256
3,0.6497953851430398,majority,mcc,3,256
0,0.481640625,standard,accuracy,0,128
1,0.4504201680672269,standard,accuracy,1,128
2,0.4211206896551724,standard,accuracy,2,128
3,0.5508620689655173,standard,accuracy,3,128
0,0.46994187588956804,standard,f1,0,128
1,0.4602781241822077,standard,f1,1,128
2,0.4246908173204966,standard,f1,2,128
3,0.5056086935378656,standard,f1,3,128
0,0.8270661301881538,standard,roc_auc,0,128
1,0.8256702969843943,standard,roc_auc,1,128
2,0.8151426714748495,standard,roc_auc,2,128
3,0.8395568067170625,standard,roc_auc,3,128
0,0.43223549715024845,standard,mcc,0,128
1,0.39331298965594486,standard,mcc,1,128
2,0.355527532448543,standard,mcc,2,128
3,0.5090044813621966,standard,mcc,3,128
0,0.6666666666666666,majority,accuracy,0,128
1,0.6666666666666666,majority,accuracy,1,128
2,0.5333333333333333,majority,accuracy,2,128
3,0.6666666666666666,majority,accuracy,3,128
0,0.5666666666666667,majority,f1,0,128
1,0.6233333333333333,majority,f1,1,128
2,0.5333333333333333,majority,f1,2,128
3,0.5833333333333333,majority,f1,3,128
0,0.9046296296296297,majority,roc_auc,0,128
1,0.8888888888888888,majority,roc_auc,1,128
2,0.9111111111111111,majority,roc_auc,2,128
3,0.9277777777777778,majority,roc_auc,3,128
0,0.6674238124719146,majority,mcc,0,128
1,0.6566261453344986,majority,mcc,1,128
2,0.4824181513244218,majority,mcc,2,128
3,0.6497953851430398,majority,mcc,3,128
